"Date","Key","Value"
2020-03-26,"Travel abroad",253
2020-03-26,"Unknown",908
2020-03-25,"Community transmission",452
2020-03-25,"Possible community transmission",36
2020-03-25,"Local transmission",201
2020-03-25,"Possible local transmission",1
2020-03-25,"Travel abroad",239
2020-03-25,"Unknown",710
2020-03-24,"Community transmission",391
2020-03-24,"Possible community transmission",32
2020-03-24,"Local transmission",182
2020-03-24,"Travel abroad",226
2020-03-24,"Unknown",552
2020-03-24,"outlined in Appendix",1
2020-03-23,"Community transmission",340
2020-03-23,"Possible community transmission",30
2020-03-23,"Local transmission",176
2020-03-23,"Travel abroad",210
2020-03-23,"Unknown",408
2020-03-23,"outlined in Appendix",1
2020-03-22,"Community transmission",285
2020-03-22,"Possible community transmission",27
2020-03-22,"Local transmission",151
2020-03-22,"Possible local transmission",3
2020-03-22,"Travel abroad",200
2020-03-22,"Unknown",299
2020-03-21,"Community transmission",238
2020-03-21,"Possible community transmission",26
2020-03-21,"Local transmission",136
2020-03-21,"Possible local transmission",0
2020-03-21,"Travel abroad",183
2020-03-21,"Unknown",253
