"Date","HSE area","Key","Value"
2020-03-29,"HSE West","Foreign travel",7
2020-03-29,"HSE West","No Foreign travel",45
2020-03-29,"HSE West","Not specified",1
2020-03-28,"HSE East","Foreign travel",30
2020-03-28,"HSE East","No Foreign travel",286
2020-03-28,"HSE East","Not specified",21
2020-03-28,"HSE Midlands","Foreign travel",2
2020-03-28,"HSE Midlands","No Foreign travel",18
2020-03-28,"HSE Midlands","Not specified",6
2020-03-28,"HSE Mid-West","Foreign travel",6
2020-03-28,"HSE Mid-West","No Foreign travel",31
2020-03-28,"HSE Mid-West","Not specified",1
2020-03-28,"HSE North-East","Foreign travel",2
2020-03-28,"HSE North-East","No Foreign travel",7
2020-03-28,"HSE North-East","Not specified",0
2020-03-28,"HSE North-West","Foreign travel",4
2020-03-28,"HSE North-West","No Foreign travel",3
2020-03-28,"HSE North-West","Not specified",5
2020-03-28,"HSE South-East","Foreign travel",2
2020-03-28,"HSE South-East","No Foreign travel",0
2020-03-28,"HSE South-East","Not specified",31
2020-03-28,"HSE South","Foreign travel",13
2020-03-28,"HSE South","No Foreign travel",49
2020-03-28,"HSE South","Not specified",20
2020-03-28,"HSE West","Foreign travel",2
2020-03-28,"HSE West","No Foreign travel",32
2020-03-28,"HSE West","Not specified",7
2020-03-27,"HSE East","Foreign travel",42
2020-03-27,"HSE East","No Foreign travel",224
2020-03-27,"HSE East","Not specified",26
2020-03-27,"HSE Midlands","Foreign travel",3
2020-03-27,"HSE Midlands","No Foreign travel",15
2020-03-27,"HSE Midlands","Not specified",6
2020-03-27,"HSE Mid-West","Foreign travel",6
2020-03-27,"HSE Mid-West","No Foreign travel",10
2020-03-27,"HSE Mid-West","Not specified",12
2020-03-27,"HSE North-East","Foreign travel",2
2020-03-27,"HSE North-East","No Foreign travel",3
2020-03-27,"HSE North-East","Not specified",4
2020-03-27,"HSE North-West","Foreign travel",5
2020-03-27,"HSE North-West","No Foreign travel",4
2020-03-27,"HSE North-West","Not specified",0
2020-03-27,"HSE South-East","Foreign travel",5
2020-03-27,"HSE South-East","No Foreign travel",1
2020-03-27,"HSE South-East","Not specified",26
2020-03-27,"HSE South","Foreign travel",14
2020-03-27,"HSE South","No Foreign travel",32
2020-03-27,"HSE South","Not specified",30
2020-03-27,"HSE West","Foreign travel",7
2020-03-27,"HSE West","No Foreign travel",13
2020-03-27,"HSE West","Not specified",16
2020-03-26,"HSE East","Foreign travel",42
2020-03-26,"HSE East","No Foreign travel",203
2020-03-26,"HSE East","Not specified",25
2020-03-26,"HSE Midlands","Foreign travel",3
2020-03-26,"HSE Midlands","No Foreign travel",14
2020-03-26,"HSE Midlands","Not specified",4
2020-03-26,"HSE Mid-West","Foreign travel",6
2020-03-26,"HSE Mid-West","No Foreign travel",8
2020-03-26,"HSE Mid-West","Not specified",7
2020-03-26,"HSE North-East","Foreign travel",2
2020-03-26,"HSE North-East","No Foreign travel",2
2020-03-26,"HSE North-East","Not specified",3
2020-03-26,"HSE North-West","Foreign travel",5
2020-03-26,"HSE North-West","No Foreign travel",3
2020-03-26,"HSE North-West","Not specified",0
2020-03-26,"HSE South-East","Foreign travel",5
2020-03-26,"HSE South-East","No Foreign travel",1
2020-03-26,"HSE South-East","Not specified",19
2020-03-26,"HSE South","Foreign travel",14
2020-03-26,"HSE South","No Foreign travel",24
2020-03-26,"HSE South","Not specified",23
2020-03-26,"HSE West","Foreign travel",8
2020-03-26,"HSE West","No Foreign travel",13
2020-03-26,"HSE West","Not specified",11
2020-03-25,"HSE East","Foreign travel",37
2020-03-25,"HSE East","No Foreign travel",174
2020-03-25,"HSE East","Not specified",22
2020-03-25,"HSE Midlands","Foreign travel",3
2020-03-25,"HSE Midlands","No Foreign travel",14
2020-03-25,"HSE Midlands","Not specified",1
2020-03-25,"HSE Mid-West","Foreign travel",4
2020-03-25,"HSE Mid-West","No Foreign travel",5
2020-03-25,"HSE Mid-West","Not specified",6
2020-03-25,"HSE North-East","Foreign travel",2
2020-03-25,"HSE North-East","No Foreign travel",2
2020-03-25,"HSE North-East","Not specified",2
2020-03-25,"HSE North-West","Foreign travel",5
2020-03-25,"HSE North-West","No Foreign travel",1
2020-03-25,"HSE North-West","Not specified",0
2020-03-25,"HSE South-East","Foreign travel",5
2020-03-25,"HSE South-East","No Foreign travel",0
2020-03-25,"HSE South-East","Not specified",12
2020-03-25,"HSE South","Foreign travel",13
2020-03-25,"HSE South","No Foreign travel",21
2020-03-25,"HSE South","Not specified",17
2020-03-25,"HSE West","Foreign travel",8
2020-03-25,"HSE West","No Foreign travel",12
2020-03-25,"HSE West","Not specified",9
2020-03-24,"HSE East","Foreign travel",37
2020-03-24,"HSE East","No Foreign travel",141
2020-03-24,"HSE East","Not specified",21
2020-03-24,"HSE Midlands","Foreign travel",3
2020-03-24,"HSE Midlands","No Foreign travel",13
2020-03-24,"HSE Midlands","Not specified",1
2020-03-24,"HSE Mid-West","Foreign travel",1
2020-03-24,"HSE Mid-West","No Foreign travel",4
2020-03-24,"HSE Mid-West","Not specified",4
2020-03-24,"HSE North-East","Foreign travel",2
2020-03-24,"HSE North-East","No Foreign travel",2
2020-03-24,"HSE North-East","Not specified",0
2020-03-24,"HSE North-West","Foreign travel",5
2020-03-24,"HSE North-West","No Foreign travel",1
2020-03-24,"HSE North-West","Not specified",0
2020-03-24,"HSE South-East","Foreign travel",4
2020-03-24,"HSE South-East","No Foreign travel",0
2020-03-24,"HSE South-East","Not specified",9
2020-03-24,"HSE South","Foreign travel",13
2020-03-24,"HSE South","No Foreign travel",21
2020-03-24,"HSE South","Not specified",13
2020-03-24,"HSE West","Foreign travel",8
2020-03-24,"HSE West","No Foreign travel",11
2020-03-24,"HSE West","Not specified",7
2020-03-23,"HSE East","Foreign travel",34
2020-03-23,"HSE East","No Foreign travel",132
2020-03-23,"HSE East","Not specified",20
2020-03-23,"HSE Midlands","Foreign travel",3
2020-03-23,"HSE Midlands","No Foreign travel",12
2020-03-23,"HSE Midlands","Not specified",0
2020-03-23,"HSE Mid-West","Foreign travel",1
2020-03-23,"HSE Mid-West","No Foreign travel",2
2020-03-23,"HSE Mid-West","Not specified",2
2020-03-23,"HSE North-East","Foreign travel",2
2020-03-23,"HSE North-East","No Foreign travel",2
2020-03-23,"HSE North-East","Not specified",0
2020-03-23,"HSE North-West","Foreign travel",4
2020-03-23,"HSE North-West","No Foreign travel",1
2020-03-23,"HSE North-West","Not specified",0
2020-03-23,"HSE South-East","Foreign travel",2
2020-03-23,"HSE South-East","No Foreign travel",0
2020-03-23,"HSE South-East","Not specified",4
2020-03-23,"HSE South","Foreign travel",13
2020-03-23,"HSE South","No Foreign travel",20
2020-03-23,"HSE South","Not specified",8
2020-03-23,"HSE West","Foreign travel",8
2020-03-23,"HSE West","No Foreign travel",11
2020-03-23,"HSE West","Not specified",2
2020-03-22,"HSE East","Foreign travel",31
2020-03-22,"HSE East","No Foreign travel",111
2020-03-22,"HSE East","Not specified",16
2020-03-22,"HSE Midlands","Foreign travel",3
2020-03-22,"HSE Midlands","No Foreign travel",12
2020-03-22,"HSE Midlands","Not specified",0
2020-03-22,"HSE Mid-West","Foreign travel",1
2020-03-22,"HSE Mid-West","No Foreign travel",2
2020-03-22,"HSE Mid-West","Not specified",2
2020-03-22,"HSE North-East","Foreign travel",2
2020-03-22,"HSE North-East","No Foreign travel",1
2020-03-22,"HSE North-East","Not specified",0
2020-03-22,"HSE North-West","Foreign travel",2
2020-03-22,"HSE North-West","No Foreign travel",1
2020-03-22,"HSE North-West","Not specified",0
2020-03-22,"HSE South-East","Foreign travel",2
2020-03-22,"HSE South-East","No Foreign travel",0
2020-03-22,"HSE South-East","Not specified",4
2020-03-22,"HSE South","Foreign travel",13
2020-03-22,"HSE South","No Foreign travel",19
2020-03-22,"HSE South","Not specified",6
2020-03-22,"HSE West","Foreign travel",8
2020-03-22,"HSE West","No Foreign travel",10
2020-03-22,"HSE West","Not specified",1
2020-03-21,"HSE East","Foreign travel",25
2020-03-21,"HSE East","No Foreign travel",91
2020-03-21,"HSE East","Not specified",12
2020-03-21,"HSE Midlands","Foreign travel",3
2020-03-21,"HSE Midlands","No Foreign travel",11
2020-03-21,"HSE Midlands","Not specified",0
2020-03-21,"HSE Mid-West","Foreign travel",1
2020-03-21,"HSE Mid-West","No Foreign travel",2
2020-03-21,"HSE Mid-West","Not specified",2
2020-03-21,"HSE North-East","Foreign travel",2
2020-03-21,"HSE North-East","No Foreign travel",1
2020-03-21,"HSE North-East","Not specified",0
2020-03-21,"HSE North-West","Foreign travel",2
2020-03-21,"HSE North-West","No Foreign travel",1
2020-03-21,"HSE North-West","Not specified",0
2020-03-21,"HSE South-East","Foreign travel",1
2020-03-21,"HSE South-East","No Foreign travel",0
2020-03-21,"HSE South-East","Not specified",2
2020-03-21,"HSE South","Foreign travel",13
2020-03-21,"HSE South","No Foreign travel",17
2020-03-21,"HSE South","Not specified",3
2020-03-21,"HSE West","Foreign travel",8
2020-03-21,"HSE West","No Foreign travel",10
2020-03-21,"HSE West","Not specified",1
