"Date","County","Value"
2020-05-30,"Clare",360
2020-05-30,"Cork",1514
2020-05-30,"Donegal",477
2020-05-30,"Dublin",12052
2020-05-30,"Galway",480
2020-05-30,"Kerry",308
2020-05-30,"Kildare",1417
2020-05-30,"Kilkenny",338
2020-05-30,"Laois",259
2020-05-30,"Leitrim",83
2020-05-30,"Limerick",594
2020-05-30,"Longford",283
2020-05-30,"Louth",768
2020-05-30,"Mayo",571
2020-05-30,"Meath",796
2020-05-30,"Monaghan",509
2020-05-30,"Offaly",478
2020-05-30,"Roscommon",333
2020-05-30,"Sligo",129
2020-05-30,"Tipperary",530
2020-05-30,"Waterford",153
2020-05-30,"Westmeath",669
2020-05-30,"Wexford",216
2020-05-30,"Wicklow",663
2020-03-29,"Carlow",4
2020-03-29,"Cavan",31
2020-03-29,"Clare",40
2020-03-29,"Cork",238
2020-03-29,"Donegal",46
2020-03-29,"Dublin",1487
2020-03-29,"Galway",86
2020-03-29,"Kerry",66
2020-03-29,"Kildare",66
2020-03-29,"Kilkenny",36
2020-03-29,"Laois",15
2020-03-29,"Leitrim",6
2020-03-29,"Limerick",67
2020-03-29,"Longford",10
2020-03-29,"Louth",44
2020-03-29,"Mayo",36
2020-03-29,"Meath",54
2020-03-29,"Monaghan",13
2020-03-29,"Offaly",34
2020-03-29,"Roscommon",10
2020-03-29,"Sligo",19
2020-03-29,"Tipperary",71
2020-03-29,"Waterford",33
2020-03-29,"Westmeath",77
2020-03-29,"Wexford",15
2020-03-29,"Wicklow",73
2020-03-28,"Carlow",4
2020-03-28,"Cavan",24
2020-03-28,"Clare",34
2020-03-28,"Cork",217
2020-03-28,"Donegal",36
2020-03-28,"Dublin",1393
2020-03-28,"Galway",77
2020-03-28,"Kerry",60
2020-03-28,"Kildare",64
2020-03-28,"Kilkenny",36
2020-03-28,"Laois",14
2020-03-28,"Leitrim",6
2020-03-28,"Limerick",64
2020-03-28,"Longford",10
2020-03-28,"Louth",39
2020-03-28,"Mayo",28
2020-03-28,"Meath",47
2020-03-28,"Monaghan",12
2020-03-28,"Offaly",34
2020-03-28,"Roscommon",10
2020-03-28,"Sligo",19
2020-03-28,"Tipperary",62
2020-03-28,"Waterford",34
2020-03-28,"Westmeath",70
2020-03-28,"Wexford",12
2020-03-28,"Wicklow",69
2020-03-27,"Carlow",3
2020-03-27,"Cavan",19
2020-03-27,"Clare",34
2020-03-27,"Cork",208
2020-03-27,"Donegal",24
2020-03-27,"Dublin",1233
2020-03-27,"Galway",68
2020-03-27,"Kerry",53
2020-03-27,"Kildare",61
2020-03-27,"Kilkenny",33
2020-03-27,"Laois",14
2020-03-27,"Leitrim",5
2020-03-27,"Limerick",55
2020-03-27,"Longford",10
2020-03-27,"Louth",34
2020-03-27,"Mayo",26
2020-03-27,"Meath",46
2020-03-27,"Monaghan",11
2020-03-27,"Offaly",29
2020-03-27,"Roscommon",10
2020-03-27,"Sligo",12
2020-03-27,"Tipperary",53
2020-03-27,"Waterford",31
2020-03-27,"Westmeath",67
2020-03-27,"Wexford",12
2020-03-27,"Wicklow",65
2020-03-26,"Carlow",3
2020-03-26,"Cavan",11
2020-03-26,"Clare",31
2020-03-26,"Cork",184
2020-03-26,"Donegal",15
2020-03-26,"Dublin",1070
2020-03-26,"Galway",63
2020-03-26,"Kerry",47
2020-03-26,"Kildare",56
2020-03-26,"Kilkenny",29
2020-03-26,"Laois",11
2020-03-26,"Leitrim",3
2020-03-26,"Limerick",46
2020-03-26,"Longford",5
2020-03-26,"Louth",27
2020-03-26,"Mayo",21
2020-03-26,"Meath",41
2020-03-26,"Monaghan",8
2020-03-26,"Offaly",22
2020-03-26,"Roscommon",8
2020-03-26,"Sligo",10
2020-03-26,"Tipperary",44
2020-03-26,"Waterford",29
2020-03-26,"Westmeath",52
2020-03-26,"Wexford",10
2020-03-26,"Wicklow",58
2020-03-25,"Carlow",3
2020-03-25,"Cavan",9
2020-03-25,"Clare",26
2020-03-25,"Cork",171
2020-03-25,"Donegal",15
2020-03-25,"Dublin",922
2020-03-25,"Galway",57
2020-03-25,"Kerry",44
2020-03-25,"Kildare",45
2020-03-25,"Kilkenny",20
2020-03-25,"Laois",10
2020-03-25,"Leitrim",3
2020-03-25,"Limerick",36
2020-03-25,"Longford",5
2020-03-25,"Louth",24
2020-03-25,"Mayo",18
2020-03-25,"Meath",33
2020-03-25,"Monaghan",5
2020-03-25,"Offaly",19
2020-03-25,"Roscommon",7
2020-03-25,"Sligo",8
2020-03-25,"Tipperary",34
2020-03-25,"Waterford",25
2020-03-25,"Westmeath",39
2020-03-25,"Wexford",9
2020-03-25,"Wicklow",52
2020-03-24,"Carlow",3
2020-03-24,"Cavan",6
2020-03-24,"Clare",25
2020-03-24,"Cork",154
2020-03-24,"Donegal",12
2020-03-24,"Dublin",774
2020-03-24,"Galway",45
2020-03-24,"Kerry",38
2020-03-24,"Kildare",39
2020-03-24,"Kilkenny",19
2020-03-24,"Laois",9
2020-03-24,"Leitrim",3
2020-03-24,"Limerick",24
2020-03-24,"Longford",4
2020-03-24,"Louth",20
2020-03-24,"Mayo",14
2020-03-24,"Meath",27
2020-03-24,"Monaghan",3
2020-03-24,"Offaly",16
2020-03-24,"Roscommon",5
2020-03-24,"Sligo",8
2020-03-24,"Tipperary",27
2020-03-24,"Waterford",22
2020-03-24,"Westmeath",29
2020-03-24,"Wexford",8
2020-03-24,"Wicklow",49
2020-03-23,"Carlow",3
2020-03-23,"Cavan",5
2020-03-23,"Clare",12
2020-03-23,"Cork",133
2020-03-23,"Donegal",11
2020-03-23,"Dublin",659
2020-03-23,"Galway",40
2020-03-23,"Kerry",33
2020-03-23,"Kildare",34
2020-03-23,"Kilkenny",16
2020-03-23,"Laois",9
2020-03-23,"Leitrim",3
2020-03-23,"Limerick",19
2020-03-23,"Longford",4
2020-03-23,"Louth",18
2020-03-23,"Mayo",9
2020-03-23,"Meath",24
2020-03-23,"Monaghan",3
2020-03-23,"Offaly",13
2020-03-23,"Roscommon",2
2020-03-23,"Sligo",8
2020-03-23,"Tipperary",20
2020-03-23,"Waterford",15
2020-03-23,"Westmeath",25
2020-03-23,"Wexford",7
2020-03-23,"Wicklow",39
2020-03-22,"Carlow",3
2020-03-22,"Cavan",5
2020-03-22,"Clare",11
2020-03-22,"Cork",123
2020-03-22,"Donegal",11
2020-03-22,"Dublin",535
2020-03-22,"Galway",35
2020-03-22,"Kerry",15
2020-03-22,"Kildare",25
2020-03-22,"Kilkenny",16
2020-03-22,"Laois",8
2020-03-22,"Leitrim",1
2020-03-22,"Limerick",19
2020-03-22,"Longford",4
2020-03-22,"Louth",16
2020-03-22,"Mayo",9
2020-03-22,"Meath",16
2020-03-22,"Monaghan",2
2020-03-22,"Offaly",13
2020-03-22,"Roscommon",1
2020-03-22,"Sligo",8
2020-03-22,"Tipperary",20
2020-03-22,"Waterford",13
2020-03-22,"Westmeath",21
2020-03-22,"Wexford",7
2020-03-22,"Wicklow",28
2020-03-21,"Carlow",2
2020-03-21,"Cavan",4
2020-03-21,"Clare",9
2020-03-21,"Cork",104
2020-03-21,"Donegal",8
2020-03-21,"Dublin",471
2020-03-21,"Galway",33
2020-03-21,"Kerry",12
2020-03-21,"Kildare",23
2020-03-21,"Kilkenny",15
2020-03-21,"Laois",6
2020-03-21,"Leitrim",1
2020-03-21,"Limerick",18
2020-03-21,"Longford",3
2020-03-21,"Louth",13
2020-03-21,"Mayo",6
2020-03-21,"Meath",13
2020-03-21,"Monaghan",2
2020-03-21,"Offaly",10
2020-03-21,"Roscommon",1
2020-03-21,"Sligo",8
2020-03-21,"Tipperary",20
